,Date,SellPrices,Trades
134,2017-01-04,"[5700.0, 6980.0, 3835.0, 8260.0, 3165.0]","{'A037030': 5700.0, 'A053300': 6900.0, 'A083470': 3845.0, 'A138610': 8495.0, 'A208710': 3180.0}"
135,2017-01-05,"[3940.0, 5000.0, 4821.0, 4902.0, 2845.0]","{'A048870': 3250.0, 'A050320': 4930.0, 'A123040': 4821.0, 'A130500': 4963.0, 'A214270': 2685.0}"
136,2017-01-06,"[3920.0, 4254.0, 3475.0, 7141.0, 1590.0]","{'A048870': 4120.0, 'A121800': 4404.0, 'A123570': 3520.0, 'A142760': 7231.0, 'A197140': 1869.0}"
137,2017-01-09,"[9399.0, 11050.0, 6050.0, 65700.0, 10800.0]","{'A052420': 9259.0, 'A057030': 10550.0, 'A061040': 5960.0, 'A100120': 65000.0, 'A131290': 10800.0}"
138,2017-01-10,"[3150.0, 12650.0, 6460.0, 7450.0, 6770.0]","{'A032580': 3195.0, 'A057030': 12850.0, 'A067730': 6550.0, 'A115500': 7220.0, 'A133750': 6330.0}"
139,2017-01-11,"[1055.0, 10100.0, 3240.0, 3080.0, 6190.0]","{'A036630': 1009.0, 'A038160': 10200.0, 'A073190': 3110.0, 'A096630': 3160.0, 'A121890': 5754.0}"
140,2017-01-12,"[912.0, 27500.0, 6085.0, 2700.0, 1756.0]","{'A021880': 860.0, 'A032685': 24050.0, 'A131760': 6085.0, 'A189330': 2700.0, 'A230980': 1638.0}"
141,2017-01-13,"[11623.0, 4960.0, 4490.0, 3005.0, 996.0]","{'A032860': 11778.0, 'A037230': 5020.0, 'A048870': 4730.0, 'A189330': 3100.0, 'A234100': 1170.0}"
142,2017-01-16,"[2945.0, 7685.0, 9900.0, 10350.0, 5576.0]","{'A014940': 2935.0, 'A080440': 7852.0, 'A101170': 9870.0, 'A217270': 10100.0, 'A219750': 6515.0}"
143,2017-01-17,"[5057.0, 916.0, 3574.0, 8300.0, 3200.0]","{'A021650': 4905.0, 'A021880': 916.0, 'A084180': 3591.0, 'A111820': 8200.0, 'A189330': 3300.0}"
144,2017-01-18,"[2780.0, 37650.0, 3160.0, 8854.0, 3600.0]","{'A042040': 2870.0, 'A067280': 36450.0, 'A076080': 3060.0, 'A080440': 8487.0, 'A114190': 3255.0}"
145,2017-01-19,"[4240.0, 15575.0, 7650.0, 47879.0, 12750.0]","{'A050320': 3950.0, 'A088390': 15776.0, 'A131220': 7320.0, 'A192410': 47692.0, 'A229000': 14250.0}"
146,2017-01-20,"[7230.0, 4675.0, 13327.0, 1089.0, 6260.0]","{'A010470': 7310.0, 'A050320': 4700.0, 'A052420': 12696.0, 'A065500': 1089.0, 'A079650': 5940.0}"
147,2017-01-23,"[1050.0, 2500.0, 1845.0, 5138.0, 8850.0]","{'A024850': 1055.0, 'A037030': 6360.0, 'A038620': 1796.0, 'A042000': 6015.0, 'A079650': 7720.0}"
148,2017-01-24,"[5680.0, 2350.0, 17150.0, 3075.0, 13000.0]","{'A026910': 5910.0, 'A038620': 2332.0, 'A052790': 17150.0, 'A139050': 3300.0, 'A214610': 14600.0}"
149,2017-01-25,"[6600.0, 4992.0, 4119.0, 4848.0, 1310.0]","{'A047080': 5660.0, 'A064260': 5142.0, 'A101390': 4119.0, 'A106080': 4567.0, 'A223310': 1285.0}"
150,2017-01-26,"[5170.0, 2600.0, 6930.0, 3035.0, 15850.0]","{'A017250': 4975.0, 'A037030': 2600.0, 'A047080': 6830.0, 'A131370': 2680.0, 'A900100': 16350.0}"
151,2017-01-31,"[3521.0, 2322.0, 4160.0, 7330.0, 998.0]","{'A021045': 2966.0, 'A036620': 2261.0, 'A073190': 4200.0, 'A083930': 7320.0, 'A234100': 925.0}"
152,2017-02-01,"[2605.0, 3380.0, 5638.0, 4250.0, 3180.0]","{'A003310': 2600.0, 'A037030': 3380.0, 'A044180': 5290.0, 'A056700': 4200.0, 'A088290': 3105.0}"
153,2017-02-02,"[7422.0, 3505.0, 4653.0, 4350.0, 11750.0]","{'A044180': 6664.0, 'A094970': 3605.0, 'A126340': 5473.0, 'A200230': 4550.0, 'A217270': 11775.0}"
154,2017-02-03,"[3455.0, 3060.0, 5440.0, 7200.0, 6430.0]","{'A003310': 3585.0, 'A020180': 3030.0, 'A037030': 4180.0, 'A046310': 7330.0, 'A060480': 6350.0}"
155,2017-02-06,"[6990.0, 7070.0, 7997.0, 5349.0, 3500.0]","{'A026910': 6900.0, 'A037030': 5440.0, 'A044180': 7689.0, 'A126340': 5349.0, 'A139050': 3550.0}"
156,2017-02-07,"[5420.0, 3700.0, 12650.0, 2519.0, 10350.0]","{'A040610': 5130.0, 'A052300': 3750.0, 'A064240': 12250.0, 'A099520': 2572.0, 'A225530': 10450.0}"
157,2017-02-08,"[7050.0, 4555.0, 8150.0, 7859.0, 9725.0]","{'A044060': 6960.0, 'A053580': 5061.0, 'A086670': 8300.0, 'A100090': 7575.0, 'A214310': 9825.0}"
158,2017-02-09,"[3680.0, 5300.0, 2595.0, 27000.0, 3400.0]","{'A049120': 3430.0, 'A096870': 5410.0, 'A141070': 2615.0, 'A219550': 26300.0, 'A225220': 3505.0}"
159,2017-02-10,"[5389.0, 6200.0, 3121.0, 3295.0, 30950.0]","{'A042000': 6842.0, 'A060480': 6460.0, 'A113810': 3139.0, 'A208140': 3108.0, 'A219550': 31400.0}"
160,2017-02-13,"[5288.0, 8330.0, 11400.0, 2591.0, 3835.0]","{'A035200': 5420.0, 'A037030': 8330.0, 'A048430': 11250.0, 'A049630': 2646.0, 'A088290': 3800.0}"
161,2017-02-14,"[6450.0, 1480.0, 4970.0, 2209.0, 4450.0]","{'A008370': 5980.0, 'A027040': 1485.0, 'A039310': 5080.0, 'A043910': 2025.0, 'A088290': 4520.0}"
162,2017-02-15,"[5850.0, 1995.0, 5020.0, 5240.0, 1545.0]","{'A017480': 5850.0, 'A037400': 2065.0, 'A049120': 5020.0, 'A052190': 5220.0, 'A224060': 1500.0}"
163,2017-02-16,"[5580.0, 9100.0, 6478.0, 1604.0, 1790.0]","{'A014200': 5580.0, 'A024120': 9300.0, 'A053580': 6580.0, 'A066790': 1473.0, 'A141020': 1835.0}"
