Date,Close,Open,High,Low,Volume,Change
2014-07-15,188.49,189.54,190.08,188.21,4870000.0,-0.0072
2014-07-16,192.36,192.24,193.36,190.76,7820000.0,0.020499999999999997
2014-07-17,192.49,192.36,195.95,192.0,8870000.0,0.0007000000000000001
2014-07-18,192.5,191.96,193.44,190.0,8170000.0,0.0001
2014-07-21,190.85,191.3,191.7,189.25,4150000.0000000005,-0.0086
2014-07-22,194.09,191.59,194.72,191.56,4850000.0,0.017
2014-07-23,193.63,194.11,194.9,193.57,3580000.0,-0.0024
2014-07-24,195.24,193.95,195.62,193.75,3610000.0,0.0083
2014-07-25,194.4,195.3,195.9,193.79,3380000.0,-0.0043
2014-07-28,195.78,194.3,196.4,193.65,3240000.0,0.0070999999999999995
2014-07-29,194.57,195.3,195.89,194.54,3260000.0,-0.0062
2014-07-30,194.0,195.2,195.99,192.9,3950000.0,-0.0029
2014-07-31,191.67,192.84,194.29,191.54,4210000.0,-0.012
2014-08-01,189.15,190.5,191.5,188.86,5180000.0,-0.0131
2014-08-04,189.64,189.35,189.95,188.6,2130000.0,0.0026
2014-08-05,187.1,188.75,189.2,186.44,3310000.0,-0.0134
2014-08-06,185.97,185.36,186.88,184.44,3850000.0,-0.006
2014-08-07,184.3,186.64,186.68,183.58,2710000.0,-0.009000000000000001
2014-08-08,186.63,184.4,186.67,183.58,2780000.0,0.0126
2014-08-11,187.47,187.81,188.36,186.28,2530000.0,0.0045000000000000005
2014-08-12,187.34,187.45,188.69,186.81,1860000.0,-0.0007000000000000001
2014-08-13,187.95,188.0,188.48,187.37,1800000.0,0.0033
2014-08-14,187.88,187.57,188.17,186.93,1930000.0,-0.0004
2014-08-15,187.38,187.85,188.88,186.79,2820000.0,-0.0027
2014-08-18,189.36,188.1,189.81,187.76,2420000.0,0.0106
2014-08-19,190.07,190.04,190.25,189.36,2040000.0,0.0037
2014-08-20,190.1,189.86,190.39,189.25,2180000.0,0.0002
2014-08-21,191.23,190.9,192.07,190.5,2500000.0,0.0059
2014-08-22,190.41,190.77,191.88,190.29,1940000.0,-0.0043
2014-08-25,191.16,191.39,191.81,190.71,1730000.0,0.0039000000000000003
2014-08-26,192.99,191.02,193.53,191.02,3180000.0,0.0096
2014-08-27,192.25,193.03,194.13,191.56,2190000.0,-0.0038
2014-08-28,192.0,191.47,192.3,190.66,1500000.0,-0.0013
2014-08-29,192.3,192.28,192.75,191.14,2910000.0,0.0016
2014-09-02,191.56,192.68,192.97,190.93,2680000.0,-0.0038
2014-09-03,191.95,192.39,192.95,191.86,1820000.0,0.002
2014-09-04,190.68,191.69,192.69,190.06,2870000.0,-0.0066
2014-09-05,191.2,190.53,191.75,190.09,2260000.0,0.0027
2014-09-08,190.14,190.75,191.2,189.51,2530000.0,-0.0055000000000000005
2014-09-09,189.99,190.34,190.74,189.78,2400000.0,-0.0008
2014-09-10,191.54,190.12,192.15,190.1,2770000.0,0.008199999999999999
2014-09-11,191.72,191.08,192.78,190.12,2300000.0,0.0009
2014-09-12,191.28,191.47,191.6,190.57,2900000.0,-0.0023
2014-09-15,191.81,191.42,192.49,190.58,2460000.0,0.0028000000000000004
2014-09-16,192.96,191.25,193.57,190.82,2560000.0,0.006
2014-09-17,192.8,193.22,193.64,192.3,3210000.0,-0.0008
2014-09-18,193.75,192.79,194.13,192.71,2960000.0,0.0049
2014-09-19,194.0,194.54,195.0,193.19,8850000.0,0.0013
2014-09-22,193.11,193.72,194.14,192.63,3320000.0,-0.0046
2014-09-23,191.62,192.75,193.07,191.52,3300000.0,-0.0077
2014-09-24,192.31,191.0,192.45,189.88,3080000.0,0.0036
2014-09-25,189.01,192.05,192.5,188.97,4160000.0,-0.0172
2014-09-26,190.06,188.93,190.33,188.61,2490000.0,0.005600000000000001
2014-09-29,189.64,188.51,189.96,188.12,2340000.0,-0.0022
2014-09-30,189.83,189.64,190.85,189.15,2930000.0,0.001
2014-10-01,187.17,189.91,190.4,186.79,3720000.0,-0.013999999999999999
2014-10-02,186.91,187.66,187.78,186.24,2280000.0,-0.0014000000000000002
2014-10-03,188.67,188.11,189.37,187.56,3070000.0,0.009399999999999999
2014-10-06,189.04,189.69,190.89,188.71,2100000.0,0.002
2014-10-07,185.71,187.77,188.12,185.54,2990000.0,-0.0176
2014-10-08,189.36,185.97,189.6,185.61,2990000.0,0.0197
2014-10-09,186.42,189.12,189.5,186.09,2630000.0,-0.0155
2014-10-10,185.93,185.86,187.74,185.1,5090000.0,-0.0026
2014-10-13,183.52,185.49,186.65,183.42,3600000.0,-0.013000000000000001
2014-10-14,183.8,184.89,185.72,183.59,3920000.0,0.0015
